,Archival_source#,Area/Kingdom,Audio_file,Audio_notes,canto_coding_id,C_cid,Classification_notes,Culture,Culture_loc,Division,Duration,Genre,Instruments,Living_metadata,Local_lat,Local_long,Lyrics,Metadata_notes,People,Performers,Publcation_collection,Publisher,Recorded_by,Region,Repository,Song,Song_notes,Source Tag,Sources,Subregion,Year
4785,2C53.A7,Andhra Pradesh/ Odisha,T5416R45,LP Missing,4006,16750.0,,Hill Saora,"R. Udayagiri Range, Badaganda, Odisha, India",India,0:00:57,Feast Song,Male Voice,,19.15,84.22,,,Munda,Male solo,Joria Music and Hill Saora Music. Swedish Broadcasting Corporation LP6646 MA,Swedish Broadcasting Corporation,Swedish Broadcasting Corporation,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Song at the Guar Feast,Male soloist with monotone chant-like song,@SBCNDJoriaHillSaora,,E C India/ E Central Tribal Area,
4786,2C53.B1,Andhra Pradesh/ Odisha,T5416R46,LP Missing,4007,16750.0,,Hill Saora,"R. Udayagiri Range, Badaganda, Odisha, India",India,0:00:49,Work Song; Agricultural Song,Male Voice,,19.15,84.22,,,Munda,Male solo,Joria Music and Hill Saora Music. Swedish Broadcasting Corporation LP6646 MA,Swedish Broadcasting Corporation,Swedish Broadcasting Corporation,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Song About the Swidden,Male soloist in song about the clearing of land,@SBCNDJoriaHillSaora,,E C India/ E Central Tribal Area,
4787,2C53.B2,Andhra Pradesh/ Odisha,T5416R47,LP Missing,4008,16750.0,,Hill Saora,"R. Udayagiri Range, Badaganda, Odisha, India",India,0:01:11,Rice Song; Work Song; Field Song; Agricultural Song,Male Voice,,19.15,84.22,,,Munda,Male solo,Joria Music and Hill Saora Music. Swedish Broadcasting Corporation LP6646 MA,Swedish Broadcasting Corporation,Swedish Broadcasting Corporation,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Working in the Rice Fields,"Male soloist in strophic, melismatic song",@SBCNDJoriaHillSaora,,E C India/ E Central Tribal Area,
4788,2C53.B3,Andhra Pradesh/ Odisha,T5416R48,LP Missing,4009,16750.0,,Hill Saora,"R. Udayagiri Range, Badaganda, Odisha, India",India,0:01:02,Morning Song,Male Voice; Ektar,,19.15,84.22,,,Munda,"Male solo, ektar",Joria Music and Hill Saora Music. Swedish Broadcasting Corporation LP6646 MA,Swedish Broadcasting Corporation,Swedish Broadcasting Corporation,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Morning Song,"Morning song, quickly paced vocal line and bowed fiddle",@SBCNDJoriaHillSaora,,E C India/ E Central Tribal Area,
4789,2C53.B10,Andhra Pradesh/ Odisha,T5416R49,LP Missing,4010,16750.0,,Hill Saora,"R. Udayagiri Range, Badaganda, Odisha, India",India,0:00:49,Prayer,Male Voice,,19.15,84.22,,,Munda,Male solo,Joria Music and Hill Saora Music. Swedish Broadcasting Corporation LP6646 MA,Swedish Broadcasting Corporation,Swedish Broadcasting Corporation,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Prayer at the Guar Feast,Prayer,@SBCNDJoriaHillSaora,,E C India/ E Central Tribal Area,
4790,T5547.36,Andhra Pradesh/ Odisha,T5547R36,,9889,16750.0,,Hill Saora,"Kutang, Ganjam District, Orissa, India",India,0:01:43,Work Song,Female Voices; Jantarungrai; Gogonjerenrai,,19.58,84.68,,,Munda,"Female chorus, jantarungrai and gogonjerenrai","Folk Music of India, Orissa. Lyrichord Discs Inc. LLST7183, Track B2",Lyrichord,N. A. Jairazbhoy; F. V. Lamsweerde; Royal Tropical Institute,South Asia,"Royal Tropical Institute, Amsterdam; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Housework Song,"Work song, describing the chores of daily life",@LFMI1963-4Orissa,,E C India/ E Central Tribal Area,1963-64
4791,T5547.37,Andhra Pradesh/ Odisha,T5547R37,,9890,16750.0,,Hill Saora,"Guma Village, Kutang, Ganjam District, Orissa, India",India,0:01:35,Domestic Song; Work Song; Rice Song; Agricultural Song; Pounding Song; Insult Song,Female Voice; Pounding of Rice,,19.58,84.68,,,Munda,"Female solo, pounding of rice","Folk Music of India, Orissa. Lyrichord Discs Inc. LLST7183, Track B3",Lyrichord,N. A. Jairazbhoy; F. V. Lamsweerde; Royal Tropical Institute,South Asia,"Royal Tropical Institute, Amsterdam; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Domestic Song,"Work song, insult song, sung by a woman of Paika (soldier) caste while pounding rice, deals with a disagreement in which man and wife insult each other",@LFMI1963-4Orissa,,E C India/ E Central Tribal Area,1963-64
4792,T5547.39,Andhra Pradesh/ Odisha,T5547R39,,9891,16750.0,,Hill Saora,"Kutang, Ganjam District, Orissa, India",India,0:02:30,Dance Song; Drama,"Male Voice; Male Voices; Bamboo Flute (Bansi); Barrel-Shaped Drum (Mandiala, Mandal); One Pair of Small Cymbals (Tal, Ginni)",,19.58,84.68,,,Munda,"Male leader, male chorus, bamboo flute (bansi), barrel-shaped drum (mandiala, mandal), one pair of small cymbals (tal and ginni)","Folk Music of India, Orissa. Lyrichord Discs Inc. LLST7183, Track B4B",Lyrichord,N. A. Jairazbhoy; F. V. Lamsweerde; Royal Tropical Institute,South Asia,"Royal Tropical Institute, Amsterdam; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Sabhavati Puran Natak,"Dance drama, tells of Shyam Kumar, the son of Krishna, his infatuation with Sabhavati, her abduction, and the ensuing battle between Shyam Kumar and Sabhvati's father, Raja Gandharbi, who is finally defeated",@LFMI1963-4Orissa,,E C India/ E Central Tribal Area,1963-64
4793,T1787.A3,Andhra Pradesh/ Odisha,T5417R38,,3812,18833.0,,Konda-Dora,"Pottangi, Koraput District, Orissa, India",India,0:01:30,,Male Voice; Ektar; Flute; Sticks,,18.56,82.97,,,Konda-Dora,"Male solo, ektar, flute, sticks","Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Mali Pulu,1st part of song sung on any general occasion,@ANSI1953MaliPulu,,E C India/ E Central Tribal Area,1953
4794,T1787.A4,Andhra Pradesh/ Odisha,T5417R39,,3813,18833.0,,Konda-Dora,"Pottangi, Koraput District, Orissa, India",India,0:04:42,Wedding Song,Female Voices,,18.56,82.97,,,Konda-Dora,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Sunita Kai ,"Wedding song, sung by women at time of marriage ",@ANSI1953SunitaKai,,E C India/ E Central Tribal Area,1953
4823,T5548.01,Odisha,T5548R01,,9892,12483.0,,Bonda,"Near Govindapalli, Koraput District, Orissa, India",India,0:02:47,Greeting Song,Female Voices; Beating Sticks,,18.55,82.73,,,Munda,"Female (possibly girls) chorus, beating sticks","Folk Music of India, Orissa, Lyrichord Discs Inc. LLST7183, Track B5",Lyrichord,"N. A. Jairazbhoy; F. V. Lamsweerde, Royal Tropical Institute, Amsterdam",South Asia,"Royal Tropical Institute, Amsterdam; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Greeting Song,Greeting song,@LFMI1963-4Orissa,,E C India/ E Central Tribal Area,1963-64
4824,T5548.02,Odisha,T5548R02,,9893,12483.0,,Bonda,"Near Govindapalli, Koraput District, Orissa, India",India,0:01:21,Harvest Song; Festival Song,Female Voices; Beating Sticks,,18.55,82.73,,,Munda,"Female (possibly girls) chorus, beating sticks","Folk Music of India, Orissa, Lyrichord Discs Inc. LLST7183, Track B6",Lyrichord,"N. A. Jairazbhoy; F. V. Lamsweerde, Royal Tropical Institute, Amsterdam",South Asia,"Royal Tropical Institute, Amsterdam; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Pausa Parva,Harvest festival song,@LFMI1963-4Orissa,,E C India/ E Central Tribal Area,1963-64
4825,T5548.03,Odisha,T5548R03,,9894,12483.0,,Bonda,"Near Govindapalli, Koraput District, Orissa, India",India,0:02:50,Wedding Song,Female Voices; Beating Sticks,,18.55,82.73,,,Munda,"Female (possibly girls) chorus, beating sticks","Folk Music of India, Orissa, Lyrichord Discs Inc. LLST7183, Track B7",Lyrichord,"N. A. Jairazbhoy; F. V. Lamsweerde, Royal Tropical Institute, Amsterdam",South Asia,"Royal Tropical Institute, Amsterdam; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Wedding Song,Wedding song,@LFMI1963-4Orissa,,E C India/ E Central Tribal Area,1963-64
4826,2C53.A1,Odisha,T5417R06,,4101,17689.0,,Jhodia,"Joria, India",India,0:03:43,Dance Song,2 Female Voices; Ektar,,28.02,76.78,,,Jhodia Paroja,"Female duet, ektar","Joria Music and Hill Saora Music. Swedish Broadcasting Corporation, Radiotjanst LP 6646 MALP6646 MA",Swedish Broadcasting Corporation,Gottenburg Ethnographical Museum,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Joria Song,Dance song,@SBCNDJoriaHillSaora,,E C India/ E Central Tribal Area,
4827,2C52.B1,Odisha,T5417R07,,4091,23167.0,Oriya includes Joria,Oriya,"Odisha, India",India,0:01:47,Men's Song,Male Voice,,20.95,85.09,,,Oriya,Male solo,Gadaba Music and Oriya Folk Songs. Swedish Broadcasting Corporation LP6647 MA,Swedish Broadcasting Corporation,Gothenburg Ethnographical Museum,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","O Lord, Cleanse Me from My Sins",,@SBC1952GadabaOriya,,E C India/ E Central Tribal Area,1952
4828,2C52.B2,Odisha,T5417R08,,4092,23167.0,Oriya includes Joria,Oriya,"Odisha, India",India,0:00:57,Song For Deity; Men's Song,Male Voice,,20.95,85.09,,,Oriya,Male solo,Gadaba Music and Oriya Folk Songs. Swedish Broadcasting Corporation LP6647 MA,Swedish Broadcasting Corporation,Gothenburg Ethnographical Museum,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Krishna Asking His Mother for Milk,,@SBC1952GadabaOriya,,E C India/ E Central Tribal Area,1952
4829,2C52.B3,Odisha,T5417R09,,4093,23167.0,Oriya includes Joria,Oriya,"Odisha, India",India,0:01:31,Epic Song; Song For Deity,Male Voice,,20.95,85.09,,,Oriya,Male solo,Gadaba Music and Oriya Folk Songs. Swedish Broadcasting Corporation LP6647 MA,Swedish Broadcasting Corporation,Gothenburg Ethnographical Museum,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Sita and Ravana,,@SBC1952GadabaOriya,,E C India/ E Central Tribal Area,1952
4830,2C52.B4,Odisha,T5417R10,,4094,23167.0,Oriya includes Joria,Oriya,"Odisha, India",India,0:00:42,Song Of Victory,Male Voice,,20.95,85.09,,,Oriya,Male solo,Gadaba Music and Oriya Folk Songs. Swedish Broadcasting Corporation LP6647 MA,Swedish Broadcasting Corporation,Gothenburg Ethnographical Museum,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Song of Victory,,@SBC1952GadabaOriya,,E C India/ E Central Tribal Area,1952
4831,2C52.B5,Odisha,T5417R11,,4095,23167.0,Oriya includes Joria,Oriya,"Odisha, India",India,0:01:07,Wedding Song,Male Voice,,20.95,85.09,,,Oriya,Male solo,Gadaba Music and Oriya Folk Songs. Swedish Broadcasting Corporation LP6647 MA,Swedish Broadcasting Corporation,Gothenburg Ethnographical Museum,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Wedding Song,,@SBC1952GadabaOriya,,E C India/ E Central Tribal Area,1952
4832,2C52.B6,Odisha,T5417R12,,4096,23167.0,Oriya includes Joria,Oriya,"Odisha, India",India,0:01:02,Wedding Song,Female Voice,,20.95,85.09,,,Oriya,Female solo,Gadaba Music and Oriya Folk Songs. Swedish Broadcasting Corporation LP6647 MA,Swedish Broadcasting Corporation,Gothenburg Ethnographical Museum,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Wedding Song,,@SBC1952GadabaOriya,,E C India/ E Central Tribal Area,1952
4833,2C52.B7A,Odisha,T5417R13,,4097,23167.0,Oriya includes Joria,Oriya,"Odisha, India",India,0:01:17,Wedding Song,Male Voice,,20.95,85.09,,,Oriya,Male solo,Gadaba Music and Oriya Folk Songs. Swedish Broadcasting Corporation LP6647 MA,Swedish Broadcasting Corporation,Gothenburg Ethnographical Museum,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",An Arrangement of Marriage,,@SBC1952GadabaOriya,,E C India/ E Central Tribal Area,1952
4834,2C52.B7B,Odisha,T5417R14,,4098,23167.0,Oriya includes Joria,Oriya,"Odisha, India",India,0:00:49,Wedding Song,Female Voice,,20.95,85.09,,,Oriya,Female solo,Gadaba Music and Oriya Folk Songs. Swedish Broadcasting Corporation LP6647 MA,Swedish Broadcasting Corporation,Gothenburg Ethnographical Museum,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",An Arrangement of Marriage,,@SBC1952GadabaOriya,,E C India/ E Central Tribal Area,1952
4835,2C52.B8,Odisha,T5417R15,,4099,23167.0,Oriya includes Joria,Oriya,"Odisha, India",India,0:02:22,Story Song,Male Voice; Plucking Drum,,20.95,85.09,,,Oriya,"Male solo, plucking drum",Gadaba Music and Oriya Folk Songs. Swedish Broadcasting Corporation LP6647 MA,Swedish Broadcasting Corporation,Gothenburg Ethnographical Museum,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Story Teller with Plucked Drum,,@SBC1952GadabaOriya,,E C India/ E Central Tribal Area,1952
4836,2C52.B9,Odisha,T5417R16,,4100,23167.0,Oriya includes Joria,Oriya,"Odisha, India",India,0:01:02,Men's Song,Male Voice,,20.95,85.09,,,Oriya,Male solo,Gadaba Music and Oriya Folk Songs. Swedish Broadcasting Corporation LP6647 MA,Swedish Broadcasting Corporation,Gothenburg Ethnographical Museum,South Asia,"The Swedish National Museum of World Culture, Gothenburg, Sweden; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",A Woman's Heart Desire,,@SBC1952GadabaOriya,,E C India/ E Central Tribal Area,1952
4837,T5547.27,Odisha,T5547R27,,9885,23425.0,,Paroja,"Sano Chindri Village, Koraput District, Orissa, India",India,0:02:28,Greeting Song,,,18.85,82.73,,,Paroja,,"Folk Music of India, Orissa. Lyrichord Discs Inc. LLST7183, Track A1",Lyrichord,N. A. Jairazbhoy; F. V. Lamsweerde; Royal Tropical Institute,South Asia,"Royal Tropical Institute, Amsterdam; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Salutation Song,,@LFMI1963-4Orissa,,E C India/ E Central Tribal Area,1963-64
4838,T5547.28,Odisha,T5547R28,,9886,23425.0,,Paroja,"Sano Chindri Village, Koraput District, Orissa, India",India,0:02:46,Courtship Song,,,18.85,82.73,,,Paroja,,"Folk Music of India, Orissa. Lyrichord Discs Inc. LLST7183, Track A2",Lyrichord,N. A. Jairazbhoy; F. V. Lamsweerde; Royal Tropical Institute,South Asia,"Royal Tropical Institute, Amsterdam; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Courtship Song,,@LFMI1963-4Orissa,,E C India/ E Central Tribal Area,1963-64
4839,T5547.29,Odisha,T5547R29,,9887,23425.0,,Paroja,"Sano Chindri Village, Koraput District, Orissa, India",India,0:03:18,Love Song,,,18.85,82.73,,,Paroja,,"Folk Music of India, Orissa. Lyrichord Discs Inc. LLST7183, Track A3",Lyrichord,N. A. Jairazbhoy; F. V. Lamsweerde; Royal Tropical Institute,South Asia,"Royal Tropical Institute, Amsterdam; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Love Song,,@LFMI1963-4Orissa,,E C India/ E Central Tribal Area,1963-64
4840,T5547.30,Odisha,T5547R30,,9888,23425.0,,Paroja,"Araku Valley, Andhra Pradesh, India",India,0:03:32,Narrative Song,,,18.32,82.87,,,Paroja,,"Folk Music of India, Orissa. Lyrichord Discs Inc. LLST7183, Track A4",Lyrichord,N. A. Jairazbhoy; F. V. Lamsweerde; Royal Tropical Institute,South Asia,"Royal Tropical Institute, Amsterdam; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Narrative Song,,@LFMI1963-4Orissa,,E C India/ E Central Tribal Area,1963-64
4876,2C22.A5,Goa,T5487R16,,680,23926.0,,Portuguese Goa,"Goa, India",India,0:03:16,,Mixed Voices; Mandolin; Guitar-Like Instruments,,15.29,74.12,,,Goa Portuguese Colonists,"Mixed chorus, mandolin, guitar-like instruments","Music from South Asia. Ethnic Folkways Library FE4447, 1957",Smithsonian Folkways,Harold Courlander,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Folk Song ,"Retains Portuegese folk-music character, sung in Portuguese",@FW1957MusicFromSouthAsia,"Recorded in India, sung in Portuguese; http://www.folkways.si.edu/TrackDetails.aspx?itemid=12644",Western Ghats,1957
4878,T1470.10EN W,Kerala,T5485R15,,1843,18371.0,,Kerala,"Trivandrum, India",India,0:03:22,,Male Voices; Jingles; Claps; Tabla;,,8.52,76.93,,,Malayali,"Male chorus, jingles, claps, tabla, ",John Levy collection,Previously Unpublished,John Levy,South Asia,"The John Levy Archive, University of Edinburgh; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Velu tampi,,@JLA1968Velutampi,,Western Ghats,1968
4879,T1470.10,Kerala,T5485R14,,1844,18371.0,,Kerala,"Trivandrum, India",India,0:03:47,,Male Voices; Jingles; Claps; Tabla;,,8.52,76.93,,,Malayali,"Male chorus, jingles, claps, tabla, ",John Levy collection,Previously Unpublished,John Levy,South Asia,"The John Levy Archive, University of Edinburgh; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Villadipattu ,,@JLA1968Villadipattu,,Western Ghats,1968
4880,2C45.B2,Kerala,T5417R28,,1845,18371.0,,Kerala,"Kerala, South India",India,0:02:19,,Mixed Voices,,10.85,76.27,,,Malayali,Mixed chorus,"Music from South India: Kerala. Folkways Records FE4365, 1961",Smithsonian Folkways,John Levy,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Villadichanpattu, Velu Tampi",Ancient form of folk music originating in Najilnad,@FW1961SouthIndiaKerala,http://www.folkways.si.edu/jl-male-villupau-singers-percussionists/velu-tampi/world/music/track/smithsonian,Western Ghats,1961
4881,2C45.A7,Kerala,T5417R27,,1846,18371.0,,Kerala,"Kerala, India",India,0:03:45,Drama; Dance Song,Male Voices,,10.85,76.27,,,Malayali,"M.E.P. Pillai, Gopinathan Nayar, K. Damodaran, Vasudeva Poduwal, Mankulam Vishnu Nambudiri, Kudama lur Karunakaran Nayar","Music from South India: Kerala. Folkways Records FE4365, 1961",Smithsonian Folkways,John Levy,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Kathakali, Kiradan","The Hunter, highly stylized Indian dance-drama",@FW1961SouthIndiaKerala,http://www.folkways.si.edu/TrackDetails.aspx?itemid=11675,Western Ghats,1961
4882,2C45.A5,Kerala,T5417R26,,1847,18371.0,,Kerala,"Kerala, South India",India,0:02:36,Devotional Song,Male Voices,,10.85,76.27,,,Malayali,Parur P.V. Ponnamma,"Music from South India: Kerala. Folkways Records FE4365, 1961",Smithsonian Folkways,John Levy,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Kirtanam, Jiva Bhavatte Ni Talleda",Devotional song of praise,@FW1961SouthIndiaKerala,http://www.folkways.si.edu/TrackDetails.aspx?itemid=11673,Western Ghats,1961
4883,2C45.B5,Kerala,T5417R31,,1848,18371.0,,Kerala,"Kerala, South India",India,0:01:16,Magic Song; Narrative Song,Male Voice,,10.85,76.27,,,Malayali,Narayana ,"Music from South India: Kerala. Folkways Records FE4365, 1961",Smithsonian Folkways,John Levy,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Vēlan Pravaṛtti: Nārāyaṇa,"Sorcery, Song of the Velans, low caste of Adi-Dravidas",@FW1961SouthIndiaKerala,http://www.folkways.si.edu/TrackDetails.aspx?itemid=11681,Western Ghats,1961
4884,2C45.B4,Kerala,T5417R30,,1849,18371.0,,Kerala,"Kerala, South India",India,0:01:58,Narrative Song,Male Voices,,10.85,76.27,,,Malayali,"K. Govindan, K. G. Janapdanan, K. G. Gopalakpishnan","Music from South India: Kerala. Folkways Records FE4365, 1961",Smithsonian Folkways,John Levy,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Kaniyan Pattu,"Astrologers' Song, Song of the Kaniyans, low caste village astrologers and umbrella makers",@FW1961SouthIndiaKerala,http://www.folkways.si.edu/TrackDetails.aspx?itemid=11680,Western Ghats,1961
4885,2C45.B3,Kerala,T5417R29,,1850,18371.0,,Kerala,"Kerala, South India",India,0:01:23,Dance Song; Planting Song; Agricultural Song,Female Voices,,10.85,76.27,,,Malayali,Members of the Kerala State Police villupattu Party,"Music from South India: Kerala. Folkways Records FE4365, 1961",Smithsonian Folkways,John Levy,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Tiruwadirakali,Song and dance with clapping of hands by Naar women during the planting season,@FW1961SouthIndiaKerala,http://www.folkways.si.edu/TrackDetails.aspx?itemid=11679,Western Ghats,1961
4886,2C45.B8,Kerala,T5417R33,,1851,18371.0,,Kerala,"Central Travancore, Kerala, India",India,0:01:52,Dance Song; Animal Song,Voice,,10.85,76.27,,,Malayali,Chellappan,"Music from South India: Kerala. Folkways Records FE4365, 1961",Smithsonian Folkways,John Levy,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Kuŕavarkaḷi: Nāgachuṭṭu,Kuravan tribe snake dance,@FW1961SouthIndiaKerala,http://www.folkways.si.edu/TrackDetails.aspx?itemid=11684,Western Ghats,1961
4887,2C45.B7,Kerala,T5417R32,,1852,18371.0,,Kerala,"Central Travancore, Kerala, India",India,0:01:33,Praise Song,Male Voices,,10.85,76.27,,,Malayali,Male chorus,"Music from South India: Kerala. Folkways Records FE4365, 1961",Smithsonian Folkways,John Levy,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Kuravarkali: Ganapati Stotram,"In Praise Of Ganapati, Kuravan tribe worship song",@FW1961SouthIndiaKerala,http://www.folkways.si.edu/TrackDetails.aspx?itemid=11683,Western Ghats,1961
4888,2C43.A3,Kerala,T5417R04,,3754,18371.0,,Kerala,"Kerala State, Former Kingdom of Travancore, India",India,0:03:05,Devotional Song; Love Song; KarnāṭAka SaṃGīta,Male Voices,,10.85,76.27,,,Malayali,"Balakrishna of Travancore, Anand Mohan","Ragas: Songs of India. Folkways Records FG3530, 1957",Smithsonian Folkways,Moses Asch,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Kandanenum Peyaril,"Devotional love song by Valli, who yearns for Kandha.Ragas are traditional classical Indian musical modes used for improvisation. Raga means color in Sanskrit and each raga has a unique sound, like the hues of a color, that expresses emotions and moods. The sound of each raga is associated with certain emotions, times of day, Hindu deities, and seasons. Ragas are thought to possess magical powers like bringing rain or causing fires.",@FW1957RagasSongsOfIndia,http://www.folkways.si.edu/TrackDetails.aspx?itemid=5240,Western Ghats,1957
4889,2C43.B2,Kerala,T5417R05,,3755,18371.0,,Kerala,"Kerala State, Former Kingdom of Travancore, India",India,0:03:00,Devotional Song; Love Song; KarnāṭAka SaṃGīta,Male Voices,,10.85,76.27,,,Malayali,"Balakrishna of Travancore, Anand Mohan","Ragas: Songs of India. Folkways Records FG3530, 1957",Smithsonian Folkways,Moses Asch,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Pahan Chunariya,"Devotional love song. Ragas are traditional classical Indian musical modes used for improvisation. Raga means color in Sanskrit and each raga has a unique sound, like the hues of a color, that expresses emotions and moods. The sound of each raga is associated with certain emotions, times of day, Hindu deities, and seasons. Ragas are thought to possess magical powers like bringing rain or causing fires.",@FW1957RagasSongsOfIndia,http://www.folkways.si.edu/TrackDetails.aspx?itemid=5245,Western Ghats,1957
4890,2C45.B1; CHB2B3.2,Kerala,T5620R12,Old audio file # T9509R05 ,9193,18371.0,,Kerala,"Kerala, South India",India,0:00:43,,Male Voices; Percussionists,,10.85,76.27,,,Malayali,"Male Villupāṭṭu singers, percussionists","Music from South India: Kerala. Folkways Records FE4365, 1961",Smithsonian Folkways,John Levy,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Villadichanpattu,"The Instruments, ancient form of folk music originating in Najilnad",@FW1961SouthIndiaKerala,http://www.folkways.si.edu/TrackDetails.aspx?itemid=11677,Western Ghats,1961
