Cu_lat,Cu_long,Area_lat,Area_long,Region,Division,Subregion,Area/Kingdom,Culture,People,People2,People3,Arensberg-Lomax_clusters,Focal_years,Koppen_climate_terrain,Koppen_code,Arensberg/Lomax_taxon,Taxon_id,Language,Lang_Family,ISO_code,Glottocode,Country,Country_id,All_cid,C_cid,M_cid,Ch_cid,P_cid,Ph_cid,I+cid,Soc_cid,D-Place_Id,C_sample_size,M_sample_size,P_sample_size,Ph_sample_size,Alt_culture_names,EA_cu_name,EA_cu# UPDATE,Murdock_cu#,EA_Prov_name,EA_Prov_#,EA_Prov_notes,EA_#,Culture_Wiki,People/Culture,Notes_1,Notes_2,Culture Sources
12.51,-61.43,12.66,-61.25,Central America,E Caribbean,Lesser Antilles/ Windward Islands,Grenadines,"Carriacou, Windward",Scots-Irish/  Afro-Caribbean,,Afro-Caribbean/ Celtic Peoples,Tropical Gardeners; Fishing; Trading,,Tropical Rainforest,Af,AH-Afro-America,,Grenadian Creole English,"Indo-European, Germanic, Anglo-Frisian, Anglic, Middle-Modern English, Eastern Carribean Creole, Grenada-Tobago Creole",ISO 639-3: gcl,gren1247,Grenada,,62505,,,,,,,,,,,,,,,,,,,,,wiki,"The people of Carriacou have close ties with their African roots and traditions. They hold Maroon festivals, long wakes with games, and the Big Drum, or Tombstone, Feast to celebrate their West African roots and ancestors and to commemorate dead relatives. On the northeast side of the island, where African fishermen and Scots-Irish boat-builders settled, there still exists a strong boat-building culture and a string band quadrille tradition.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap  @Ethnogcl @WikiCarriacou  @Glottogren1247
12.21,-61.63,12.66,-61.25,Central America,E Caribbean,Lesser Antilles/ Windward Islands,Grenadines,Grenada,Afro-Caribbean Creole,S & C Am African & Creole Peoples,Afro-Caribbean Peoples,Tropical Gardeners,1962,Tropical Savannah,Aw,,,Grenadian Creole English,"Indo-European, Germanic, Anglo-Frisian, Anglic, Middle-Modern English, Eastern Carribean Creole, Grenada-Tobago Creole",ISO 639-3: gcl,gren1247,Grenada,,16138,16138,,,,,,,,40,,,,Grenadian; Grenadine,GRENADA,,16138,Caribbean Negroes,174,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottogren1247 @Ethnogcl @WikiSauteurs  
17.17,-62.57,17.34,-62.78,Central America,E Caribbean,Lesser Antilles/ Windward Islands,Saint Kitts and Nevis,St. Kitts and Nevis,Afro-Caribbean Creole,S & C Am African & Creole Peoples,Afro-Caribbean Peoples,Tropical Gardeners,1962,Tropical Savannah,Aw,,,Antigua and Barbuda Creole English,"Indo-European, Germanic, Anglo-Frisian, Anglic, Macro-English, Caribbean English Creole, Gullah-Nevis-Antigua",ISO 639-3: aig,anti1245,St. Kitts and Nevis,,22408,22408,,,,,,,,12,,,,Nevisian; Oualie; Dulcina,NEVIS,,22408,Caribbean Negroes,174,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottostan1293 @Ethnoeng @WikiNevis  
13.89,-60.97,13.88,-60.98,Central America,E Caribbean,Lesser Antilles/ Windward Islands,St Lucia,St. Lucia,Afro-Caribbean Creole,S & C Am African & Creole Peoples,Afro-Caribbean Peoples,Tropical Gardeners,1962;,Tropical Rainforest,Af,,,Saint Lucian Creole French,"Indo-European, Italic, Romance, Oil, Macro-French",ISO 639-3: acf,sain1246,St. Lucia,,26137,26137,,,,,,,,28,,,,Sainte-Lucie,ST LUCIA,,26137,Caribbean Negroes,174,added for GJB,,wiki,"St. Lucia, otherwise known as ""Helen of the West Indies"" first came under French rule in 1660, at which time a treaty was signed with its native Carib tribe. For the next 200 years, amid the growth of sugar production, the island nation was attacked repeatedly by the competing nations of England and France and frequently changed alligence.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottosain1246 @Ethnoacf @WikiSaint  
10.45,-61.28,10.45,-61.29,Central America,E Caribbean,Lesser Antilles/ Windward Islands,Trinidad & Tobago,Indo-Trinidad,Indo-Trinidadian,,Indo-Caribbean Peoples,Old Eurasia,1962,Monsoon,Am,,,Caribbean Hindustani,"Indo-European, Indo-Iranian, Indo-Aryan, Bihari, Western Magadhan, Bhojpuric",ISO 639-3: hns,cari1275,Trinidad and Tobago,,17194,17194,,,,,,,,25,,,,,INDIA:TRINIDAD,,17194,Ganges Valley,69,added for GJB,,wiki,"Between 1874 and 1917, over 100,000 Indian immigrants left homes in Uttar Pradesh, Madras, Calcutta, Bihar, and more, to work and live as indentured laborers in Trinidad. The demand for Indian immigrant workers increased dramatically after the abolition of slavery in 1834. They were sent, sometimes in large numbers, to plantation colonies producing high value crops such as sugar in Africa and the Caribbean.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottocari1275 @Ethnohns @WikiIndo-Trinidadian  
10.69,-61.32,10.45,-61.29,Central America,E Caribbean,Lesser Antilles/ Windward Islands,Trinidad & Tobago,Lopinot,Venezuelan & Colombian Creole,,Caribbean Creole Peoples,Western Europe,1962,Monsoon,Am,,,Patois,"Indo-European, Italic, Latinic, Romance, Oil, Macro-French, Circum-Caribbean French, Saint Lucian Creole French",,pato1243,Trinidad and Tobago,,30027,30027,,,,,,,,5,,,,,,,,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap   @WikiLopinot  @Glottopato1243
11.21,-60.69,10.45,-61.29,Central America,E Caribbean,Lesser Antilles/ Windward Islands,Trinidad & Tobago,Tobago,Trinidad & Tobago Creole,,Caribbean Creole Peoples,Tropical Gardeners,1962,Monsoon,Am,,,Tobagonian Creole English,"Indo-European, Germanic, Anglo-Frisian, Eastern Carribean Creole, Grenada-Tobago Creole",ISO 639-3: tgh,toba1282,Trinidad and Tobago,,27226,27226,,,,,,,,3,,,,Tobagonian,TOBAGO,,27226,Caribbean Negroes,174,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottotoba1282 @Ethnotgh @WikiTrinidadians  
10.83,-60.94,10.45,-61.29,Central America,E Caribbean,Lesser Antilles/ Windward Islands,Trinidad & Tobago,Toco,Trinidad & Tobago Creole,,Caribbean Creole Peoples,Tropical Gardeners,1962,Monsoon,Am,AH-Afro-America,scfal982,Trinidadian Creole English,"Indo-European, Germanic, Anglo-Frisian, Macro-English, Eastern Carribean Creole, Barbados-Trinidad",ISO 639-3: trf,trin1276,Trinidad and Tobago,,27248,27248,,,,,,27248,,10,,,,,TOCO,,27248,Caribbean Negroes,174,added for GJB,28778,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottotrin1276 @Ethnotrf @WikiToco  
10.25,-61.33,10.45,-61.29,Central America,E Caribbean,Lesser Antilles/ Windward Islands,Trinidad & Tobago,Trinidad,Trinidad & Tobago Creole,,Caribbean Creole Peoples,Tropical Gardeners,1962,Monsoon,Am,,,Trinidadian Creole English,"Indo-European, Germanic, Anglo-Frisian, Macro-English, Eastern Carribean Creole, Barbados-Trinidad",ISO 639-3: trf,trin1276,Trinidad and Tobago,,27462,27462,,,,,,,,7,,,,Trinidadian,TRINIDAD:SHOUTER,,27462,Caribbean Negroes,174,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottotrin1276 @Ethnotrf @WikiTrinidadians  
10.39,-61.22,10.45,-61.29,Central America,E Caribbean,Lesser Antilles/ Windward Islands,Trinidad & Tobago,Trinidad Creole,Trinidad & Tobago Creole,,Caribbean Creole Peoples,Tropical Gardeners,1962; 1982,Monsoon,Am,,,Trinidadian Creole English,"Indo-European, Germanic, Anglo-Frisian, Macro-English, Eastern Carribean Creole, Barbados-Trinidad",ISO 639-3: trf,trin1276,Trinidad and Tobago,,27457,27457,,27457,,,,,,50,,,,Trinidadian,TRINIDAD:CREOLE,,27457,Caribbean Negroes,174,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottotrin1276 @Ethnotrf @WikiTrinidad  
14.72,-61.11,14.68,-61.03,Central America,E Caribbean,Lesser Antilles/ Windward Islands,Windward French Antilles,Martinique Rural,Afro-Caribbean French,S & C Am African & Creole Peoples,Afro-Caribbean Peoples,Tropical Gardeners,,Tropical Rainforest,Af,,,Lesser Antillean French Creole,"Indo-European, Italic, Latinic, Romance, Oil, Macro-French, Circum-Caribbean French",,less1242,Martinique,,62506,62506,,,,,,,,18,,,,,,,,Caribbean Negroes,174,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap   @WikiMartinique  @Glottoless1242
14.65,-60.97,14.68,-61.03,Central America,E Caribbean,Lesser Antilles/ Windward Islands,Windward French Antilles,Martinique Urban Creole,Afro-Caribbean French,S & C Am African & Creole Peoples,Afro-Caribbean Peoples,Tropical Gardeners,1962,Tropical Rainforest,Af,,,Lesser Antillean French Creole,"Indo-European, Italic, Latinic, Romance, Oil, Macro-French, Circum-Caribbean French",,less1242,Martinique,,20934,20934,,,,,,,,4,,,,,MARTINIQUE,,20934,Caribbean Negroes,174,added for GJB,,wiki,"In post-slavery Martinique, freed slaves and mulâtres (children of owners and slave mothers), established farming hamlets still occupied by many of the same families today. Some became well-known specialists in music and dance whose descendants still practice their arts.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap   @WikiMartinique  @Glottoless1242
20.59,100.39,21.55,-101.67,Central America,Mexico,C Mexico,Bajío Reg,Querétaro,Querétaro Mestizo,,Mexico Mestizos,,,Semi Arid Steppe Cold,BSk,,,Northwestern Otomi,"Otomanguean, Otopame-Chinantecan, Otopamean, Otomian, Otomi",,nort3201,Mexico,,62419,62419,,,,,,,,1,,,,,,,,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottostan1288 @Ethnospa @WikiQueretaro  
19.98,-101.71,20.43,-102.12,Central America,Mexico,C Mexico,Guanajuato/ Jalisco/ Michoacan,Purépecha,Tarascan,,Mexico Indigenous Peoples,Western Europe,1945-53; 1947-50; 1947-65,Humid Subtropical,Cwa,Uah (Unclassified Animal Husbanders),scfal997,Purépecha,Tarascan,ISO 639-3: tsz,pure1242,Mexico,,26610,26610,,26610,,,,26610,,11,,,,Purépecha; Purepecha,TARASCO,Nj8,26610,Central Mexico,165,,62055,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottopure1242 @Ethnotsz @WikiPurepecha  
20.09,-98.76,20.43,-98.97,Central America,Mexico,C Mexico,Hidalgo,Hidalgo,Hidalgo Mestizo,,Mexico Mestizos,,1947-50,Semi Arid Steppe Cold,BSk,,,Mexican Altiplano Spanish,"Indo-European, Italic, Latinic, Romance, West Ibero-Romance, Castilic, Spanish",,,Mexico,,62502,62502,,,,,,,,1,,,,,,,,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottostan1288 @Ethnospa @WikiHidalgo  
20.61,-98.11,20.43,-98.97,Central America,Mexico,C Mexico,Hidalgo,Otomi,Oto-Pamean Oto-Manguean Peoples,,Mexico Indigenous Peoples,Nuclear America,1947-65,Humid Subtropical,Cwa,,,Otomi,"Otomanguean, Otopame-Chinantecan, Otomian",,otom1300,Mexico,,23255,23255,,,,,,23255,,2,,,,Hñähñu; Hñähño; Ñuhu; Ñhato; Ñuhmu,OTOMI,Nj13,23255,Central Mexico,165,added for GJB,55130,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottootom1300  @WikiOtomi  
19.08,-102.35,18.92,-101.41,Central America,Mexico,C Mexico,Michoacan,Michoacan,Michoacan Mestizo,,Mexico Mestizos,,1947-1950; 1947-50,Subtropical Highland,Cwb,,,Michoacán Mazahua,"Otomanguean, Otopame-Chinantecan, Otomian, Mazahua",ISO 639-3: mmc,mich1246,Mexico,,62501,62501,,,,,,,,3,,,,,,,,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottomich1246 @Ethnommc @WikiMichoacan  
18.96,-98.98,18.66,-99.15,Central America,Mexico,C Mexico,Morelos,Morelos,Morelos Mestizo,,Mexico Mestizos,,1969,Subtropical Highland,Cwb,,,Morelos Nahuatl,"Uto-Aztecan, Corachol-Aztecan, Aztec, Central Nahuatl",ISO 639-3: nhm,more1259,Mexico,,62503,62503,,,,,,,,1,,,,,,,,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottomore1259 @Ethnonhm @WikiMorelos  
22,-99.01,22.42,-100.19,Central America,Mexico,C Mexico,San Luis Potosí,San Luis Potosí,Huasteco Mestizo,,Mexico Mestizos,,1960s,Semi Arid Steppe Hot,BSh,,,Huastec,"Mayan, Huastecan Mayan",ISO 639-3: hus,huas1242,Mexico,,62504,62504,,,,,,,,1,,,,Potosino,,,,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap   @WikiSanLuisPotosi  @Glottohuas1242
19.43,-99.13,19.66,-99,Central America,Mexico,C Mexico,Valley of Mexico,Mexico City,Mexico City Mestizo,,Mexico Mestizos,Nuclear America,1947-1950; 1947-65,Subtropical Highland,Cwb,,,Mexican Altiplano Spanish,"Indo-European, Italic, Latinic, Romance, West Ibero-Romance, Castilic, Spanish",,,Mexico,,62498,62498,,,62498,,,,,2,,1,,Ciudad de Mexico,,,,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottostan1288 @Ethnospa @WikiMexico  
19.43,-99.13,19.66,-99,Central America,Mexico,C Mexico,Valley of Mexico,Nahua,Nahuatl Uto-Aztecan,,Mexico Indigenous Peoples,Nuclear America,,Subtropical Highland,Cwb,I-Pueblo,scfal399,Aztec (also known as Nahuatl),"Uto-Aztecan, Corachol-Aztecan",,azte1234,Mexico,,30128,,,30128,,,,,,,,,,Aztec; Mexica; Nāhuatlācatl; Mēxihcatl; Mēxihcah,AZTEC,Nj2,11188,Central Mexico,165,,46123,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoazte1234  @WikiNahuas  
23.63,-102.55,23.38,-102.96,Central America,Mexico,C Mexico,Zacatecas,Zacateco,Zacateco Mestizo,,Mexico Mestizos,Western Europe,,Semi Arid Steppe Cold,BSk,C-Great Basin,,Mexican Norteño del Noreste Spanish,"Indo-European, Italic, Latinic, Romance, West Ibero-Romance, Castilic, Spanish",,,Mexico,,21297,,,21297,,,,,,,,,,,MEXICO,,21297,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottostan1288 @Ethnospa @WikiZacateco  
20.54,-97.69,20.43,-97.51,Central America,Mexico,Gulf of Mexico ,Totonacapan,Totonac,Totonac,,Mexico Indigenous Peoples,Uniques,1960,Warm Oceanic Humid Subtropical,Cfa,I-Prairie,scfal371,Totonac,Totonacan,,toto1252,Mexico,,27413,27413,,27413,,,,27413,,7,,,,,TOTONAC,Nj4,27413,Central Mexico,165,,5483,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottototo1252  @WikiTotonac  
19.43,-96.38,18.73,-96.09,Central America,Mexico,Gulf of Mexico ,Veracruz,Veracruz,Veracruzano Mestizo,,Mexico Mestizos,Western Europe; Nuclear America,1947-50,Tropical Savannah,Aw,,,Mexican Costeño Spanish,"Indo-European, Italic, Latinic, Romance, West Ibero-Romance, Castilic, Spanish",,,Mexico,,28238,28238,,26571,,,,,,6,,,,Jarocho,VERACRUZ; TANTOYUCA,,28238; 26571,Central Mexico,165,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottostan1288 @Ethnospa @WikiVeracruz  
27.56,-107.15,28.35,-106.41,Central America,Mexico,N Mexico,Chihuahua,Rarámuri,Tarahumaran Uto-Aztecan,,Mexico Indigenous Peoples,Nuclear America,1946; 1938-46,Semi Arid Steppe Cold,BSk,I-Desert,scfal380,Tarahumaran,"Uto-Aztecan, Tarahumara-Guarijio",,tara1321,Mexico,,26599,26599,26599,26599,,,26599,26599,,11,9,,,Tarahumara; Raramuri,TARAHUMARA,Ni1,26599,Northwest Mexico,163,,59239,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottotara1321  @WikiRaramuri  
28.99,-112.38,29.55,-110.56,Central America,Mexico,N Mexico,Sonora,Seri,Seri,,Mexico Indigenous Peoples,Nuclear America,1944,Warm Desert,BWh,HF-Arctic,scfal158,Seri,Isolated language,ISO 639-3: sei,seri1257,Mexico,,25246,25246,25246,25246,,25246,,25246,,10,10,,10,Comcaac,SERI,Ni4,25246,Northwest Mexico,163,,40546,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoseri1257 @Ethnosei @WikiSeri  
29.94,-110.68,29.55,-110.56,Central America,Mexico,N Mexico,Sonora,Yaqui,Cahitan Uto-Aztecan,,Mexico Indigenous Peoples,Nuclear America,1941; 1941-46; 1942-47,Warm Desert,BWh,I-Desert,scfal381,Yaqui,"Uto-Aztecan, Cahita",ISO 639-3: yaq,yaqu1251,Mexico,,28986,28986,,28986,,,28986,28986,,10,,,,Hiaki; Yoeme,YAQUI,Ni7,28986,Northwest Mexico,163,,14961,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoyaqu1251 @Ethnoyaq @WikiYaqui  
16.5,-93.5,16.68,-94.05,Central America,Mexico,S Mexican Highlands,Chiapas Highalnds/ Oaxaca,Zoque,Mixe-Zoque,,Mexico Indigenous Peoples,Nuclear America,,Equatorial,Af,,,Zoque,Mixe-Zoque,,zoqu1261,Mexico,,29338,,,29338,,,,,,,,,,,,,,Maya,167,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottozoqu1261  @WikiZoque  
16.64,-92.74,16.84,-92.5,Central America,Mexico,S Mexican Highlands,Chiapas Highlands,Chamula Tzotzil,Chiapas Maya,,Mexico Indigenous Peoples,Nuclear America,1946; 1942-47; 1944-46,Tropical Savannah,Aw,I-Middle America,scfal394,Tzotzil,"Mayan, Cholan-Tzeltalan, Tzeltalan",ISO 639-3: tzo,tzot1259,Mexico,,27853,27853,,,,,,27853,,5,,,,Sotz'leb,TZOTZIL,,27853,Maya,167,added for GJB,52588,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottotzot1259 @Ethnotzo @WikiTzotzil  
16.42,-92.42,16.84,-92.5,Central America,Mexico,S Mexican Highlands,Chiapas Highlands,Venustiano Carranza Tzotzil,Chiapas Maya,,Mexico Indigenous Peoples,Nuclear America,1960s,Tropical Savannah,Aw,,,Tzotzil,"Mayan, Cholan-Tzeltalan, Tzeltalan",ISO 639-3: tzo,tzot1259,Mexico,,13558,13558,,13558,,,,,,1,,,,,CHIAPAS,,13558,Maya,167,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottotzot1259 @Ethnotzo @WikiTzotzil  
16.75,-92.71,16.84,-92.5,Central America,Mexico,S Mexican Highlands,Chiapas Highlands,Zinacantan Tzotzil,Chiapas Maya,,Mexico Indigenous Peoples,Nuclear America,1964; 1966,Tropical Savannah,Aw,,,Tzotzil,"Mayan, Cholan-Tzeltalan, Tzeltalan",ISO 639-3: tzo,tzot1259,Mexico,,29316,29316,,29316,,,,,,5,,,,Tzotzil,ZINACANTAN,,29316,Maya,167,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottotzot1259 @Ethnotzo @WikiTzotzil  
16.41,-92.41,16.84,-92.5,Central America,Mexico,S Mexican Lowlands,Chiapas Lowlands,Lacandon,Chiapas Maya,,Mexico Indigenous Peoples,Nuclear America,1945-53; 1947-50; 1947-65,"Monsoon, Tropical Savannah","Am, Aw",Iu (Unclassified Incipient Producers),scfal412,Lacandon,"Mayan, Yucatecan",ISO 639-3: lac,laca1243,Mexico,,19526,19526,19526,,,,,19526,,6,6,,,Hach Winik,LACANDON,Sa10,19526,Maya,167,,17996,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottolaca1243 @Ethnolac @WikiLacandon  
20.98,-89.64,20.76,-88.95,Central America,Mexico,S Mexican Lowlands,Yucatan Peninsula,Mérida,Yucatan Mestizo,,Mexico Mestizos,,1947-1950,Tropical Savannah,Aw,,,Yucatec Maya,"Mayan, Yucatecan, Yucatec-Lacandon",ISO 639-3: yua,yuca1254,Mexico,,62499,62499,,,,,,,,1,,,,,,,,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap   @WikiMerida  @Glottoyuca1254
16.35,-89.07,20.76,-88.95,Central America,Mexico,S Mexican Lowlands,Yucatan Peninsula,Yucatan Maya,Yucatan Maya,,Mexico Indigenous Peoples,Nuclear America,1947-50,"Monsoon, Tropical Savannah","Am, Aw",I-Middle America; Uah (Unclassified Animal Husbanders),scfal395; scfal994,Yucatec Maya,"Mayan, Yucatecan",ISO 639-3: yua,yuca1254,Mexico,,21033,21033,,21033,,,,21033,,8,,,,Yucateco,MAYA-MESTIZO; MAYA-YUCATEC,Sa6,21033; 29118,Maya,167,,10578; 48753,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoyuca1254 @Ethnoyua @WikiMaya  
17.55,-99.51,17.6,-99.94,Central America,Mexico,S W Mexico,Guerrero,Guerrero,Guerrero Mestizo,,Mexico Mestizos,Nuclear America,1947-50,Humid Subtropical Oceanic Highland,Cwb,,,Central Guerrero Nahuatl,"Uto-Aztecan, Aztec, Eastern Nahuatl",ISO 639-3: ngu,guer1241,Mexico,,21291,21291,,21291,,,,,,1,,,,,MEXICAN,,21291,Central Mexico,165,added for GJB,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap   @WikiGuerrero  @Glottoguer1241
17.05,-96.72,17.88,-98.42,Central America,Mexico,S W Mexico,"Guerrero/ La Mixteca Reg, Oaxaca/ Puebla",Mixtec,Mixtecan Oto-Manguean Peoples,,Mexico Indigenous Peoples,Nuclear America,1956-59,Humid Subtropical Oceanic Highland,Cwb,,,Mixtec,"Otomanguean, Amuzgo-Mixtecan, Mixtecan, ",,mixt1427,Mexico,,21484,21484,,,,,,21484,,1,,,,Ñuù savi; Nayívi savi; Ñuù davi; Nayivi davi; Nudzahui,MIXTEC,Nj12,21484,Tehuantepec,166,added for GJB,60499,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottomixt1427  @WikiMixtec  
17.09,-96.74,16.68,-96.46,Central America,Mexico,S W Mexico,Oaxaca,Zapotec,Zapotecan Oto-Manguean Peoples,,Mexico Indigenous Peoples,Nuclear America,1947-65,Humid Subtropical Oceanic Highland,Cwb,I-Middle America,scfal396,Zapotecan,"Otomanguean, Popoloca-Zapotecan",,zapo1436,Mexico,,29239,29239,,29239,29239,,,29239,,1,,1,,,ZAPOTEC,Nj10,,Tehuantepec,166,,14194,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottozapo1436  @WikiZapotec  
17.89,-94.91,17.7,-95.23,Central America,Mexico,S W Mexico,Oaxaca/ S E Veracruz,Popoluca,Mixe-Zoque/ Popolocan Oto-Manguean Peoples,,Mexico Indigenous Peoples,Nuclear America,,Monsoon,Am,I-Middle America,scfal391,Popolocan,"Otomanguean, Popoloca-Zapotecan, Chocho-Popolocan",,popo1294,Mexico,,23904,23904,,,,,,23904,,2,,,,,POPOLUCA,Nj3,23904,Tehuantepec,166,,24669,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottopopo1294  @WikiPopoluca  
18.15,-96.57,17,-96.5,Central America,Mexico,S W Mexico,Sierra Madre de Oaxaca,Mazateco,Popolocan Oto-Manguean Peoples,,Mexico Indigenous Peoples,Nuclear America,1956,Humid Subtropical Oceanic Highland,Cwb,,,Mazatecan,"Otomanguean, Popoloca-Zapotecan, Popolocan-Mazatecan",,maza1295,Mexico,,21055,21055,,,,,,21055,,1,,,,Ha Shuta Enima; Mazatec,MAZATEC,Nj5,21055,Tehuantepec,166,,19026,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottomaza1295  @WikiMazatec  
20.66,-103.35,20.4,-103.95,Central America,Mexico,W Mexico,Jalisco,Jalisco,Jalisco Mestizo,,Mexico Mestizos,Nuclear America,1953; 1947-1950; 1960s,Humid Subtropical,Cwa,,,Western Mexican Spanish,"Indo-European, Italic, Latinic, Romance, West Ibero-Romance, Castilic, Spanish",,,Mexico,,62500,62500,,,,,,,,3,,,,,,,,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap   @WikiJalisco  
